"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","xAG","xA","A_minus_xAG","KP","Final_Third","PPA","CrsPA","PrgP","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","SCA_SCA","SCA90_SCA","PassLive_SCA","PassDead_SCA","TO_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","GCA90_GCA","PassLive_GCA","PassDead_GCA","TO_GCA","Sh_GCA","Fld_GCA","Def_GCA","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial"
2023,"Ajaccio","Ligue 1","Mickaël Alphonse","GLP","DF","33",1989,26,14,1361,0,0,0,0,0,0,2,1,0.5,0.5,0.7,1.2,30,51,34,0,0,0,0,0,0.03,0.04,0.08,0.03,0.08,15.1,35,23,20,11,4,20,33,60.6,13,17,5,12,35,70,44,1,448,686,65.3,7834,3413,197,237,83.1,190,272,69.9,45,133,33.8,0.7,0.9,-0.7,11,43,10,5,51,0,10,2,20,0.66,0.13,0,0,16.3,0,0,0,0.05,-0.5,-0.5,686,527,157,8,0,0,27,149,0,0,0,0,448,2,21,19,1.25,15,1,1,1,0,1,0,0,0,0,0,0,0,0,879,54,255,457,178,13,879,19,10,52.6,8,42.1,473,2988,1528,30,25,0,15,14,403,34,0,19,15,0,27,23,0,1,1,89,32,27,54.2
2023,"Ajaccio","Ligue 1","Cédric Avinel","GLP","DF","35",1986,24,19,1794,1,0,1,1,0,0,2,1,1,1,0,1,3,31,1,0.05,0,0.05,0.05,0.05,0.05,0,0.05,0.05,0.05,19.9,13,7,8,5,0,8,12,66.7,4,20,13,7,15,28,91,1,607,714,85,12003,4107,174,194,89.7,346,388,89.2,71,108,65.7,0,0.1,0,0,13,0,0,31,1,3,1,33.3,0.15,0.05,0.33,1,4.1,0,0,0,0.41,0,0,714,693,21,21,0,1,0,0,0,0,0,0,607,0,2,3,0.15,1,1,0,1,0,0,1,0.05,0,0,0,1,0,0,876,119,508,369,5,2,876,1,0,0,0,0,576,3235,1495,3,1,0,3,0,508,1,0,12,2,0,0,7,0,2,0,93,38,15,71.7
2023,"Ajaccio","Ligue 1","Mickaël Barreto","FRA","MF","31",1991,20,15,1325,1,1,2,1,0,0,1,0,0.9,0.9,1.9,2.8,26,87,53,0.07,0.07,0.14,0.07,0.14,0.06,0.13,0.19,0.06,0.19,14.7,32,20,12,17,3,8,45,17.8,37,17,0,17,18,50,11,0,481,695,69.2,9089,3373,205,247,83,179,239,74.9,80,173,46.2,1.9,2.1,-0.9,18,71,16,7,87,1,19,4,21.1,1.29,0.27,0.05,0.25,26.6,3,0,0,0.05,0.1,0.1,695,607,83,46,2,4,76,12,24,9,11,0,481,5,14,30,2.04,22,7,0,0,0,1,1,0.07,1,0,0,0,0,0,869,18,159,501,227,9,869,49,23,46.9,24,49,601,3671,1576,26,30,0,34,19,533,53,0,20,8,0,76,20,0,0,0,100,9,7,56.3
2023,"Ajaccio","Ligue 1","Cyrille Bayala","BFA","MF","26",1996,33,25,2009,1,1,2,1,0,0,3,1,2,2,2,4.1,46,66,109,0.04,0.04,0.09,0.04,0.09,0.09,0.09,0.18,0.09,0.18,22.3,53,37,16,20,17,23,47,48.9,24,20,3,17,25,78,21,0,399,654,61,6041,2291,219,290,75.5,133,215,61.9,24,76,31.6,2,1.7,-1,19,45,14,7,66,1,22,6,27.3,0.99,0.27,0.05,0.17,15.2,0,0,0,0.09,-1,-1,654,615,35,1,5,0,44,34,0,0,0,0,399,4,32,43,1.93,29,1,4,1,4,4,2,0.09,1,0,0,0,0,1,947,27,161,431,373,45,947,68,25,36.8,38,55.9,620,4019,1631,46,34,14,56,35,541,109,0,29,28,7,44,37,0,0,0,150,41,57,41.8
2023,"Ajaccio","Ligue 1","Youcef Belaïli","ALG","MF,FW","30",1992,17,15,1150,6,3,9,1,5,6,2,0,6.2,1.8,3.5,5.3,32,55,68,0.47,0.23,0.7,0.08,0.31,0.48,0.27,0.76,0.14,0.42,12.8,18,10,3,9,6,8,20,40,12,10,1,9,5,23,4,0,328,458,71.6,5637,2159,162,201,80.6,101,137,73.7,44,74,59.5,3.5,3.3,-0.5,21,35,22,6,55,6,27,9,33.3,2.11,0.7,0.04,0.11,24.8,4,5,6,0.07,-0.2,-0.8,458,397,56,22,5,2,42,12,15,4,6,0,328,5,13,47,3.68,24,9,4,4,6,0,10,0.78,5,0,2,1,2,0,631,6,66,320,257,51,625,64,29,45.3,24,37.5,476,3115,1319,32,24,18,42,27,431,68,0,25,24,4,42,10,2,0,0,75,7,9,43.8
2023,"Ajaccio","Ligue 1","Kouamé Botué","BFA","FW,MF","19",2002,8,2,229,0,0,0,0,0,0,0,0,1.2,1.2,0.1,1.3,4,4,16,0,0,0,0,0,0.48,0.05,0.53,0.48,0.53,2.5,4,2,2,1,1,0,2,0,2,1,0,1,0,4,1,0,33,47,70.2,386,141,23,31,74.2,8,12,66.7,0,0,NA,0.1,0.1,-0.1,3,6,1,0,4,0,7,0,0,2.75,0,0,NA,14.2,0,0,0,0.17,-1.2,-1.2,47,47,0,0,0,0,0,0,0,0,0,0,33,0,1,8,3.16,4,0,0,1,3,0,1,0.39,0,0,0,1,0,0,84,1,7,31,49,13,84,5,1,20,4,80,54,385,132,4,3,3,10,1,57,16,0,5,6,0,0,2,0,0,0,13,10,17,37
2023,"Ajaccio","Ligue 1","Florian Chabrolle","FRA","MF","24",1998,7,3,329,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,1,14,8,0,0,0,0,0,0.01,0,0.01,0.01,0.01,3.7,6,4,1,5,0,2,4,50,2,3,0,3,7,13,2,0,120,138,87,1822,345,60,65,92.3,49,57,86,4,9,44.4,0,0.1,0,0,7,2,0,14,0,2,1,50,0.55,0.27,0,0,26.6,0,0,0,0.03,-0.1,-0.1,138,134,4,3,0,0,1,0,0,0,0,0,120,0,0,1,0.27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,170,6,20,113,39,0,170,1,0,0,1,100,121,567,236,1,4,0,5,4,108,8,0,2,1,0,1,4,0,0,0,22,1,3,25
2023,"Ajaccio","Ligue 1","Ivane Chegra","FRA","MF,FW","18",2004,6,1,193,0,0,0,0,0,0,0,0,0,0,0.1,0.1,7,7,5,0,0,0,0,0,0.01,0.04,0.06,0.01,0.06,2.1,8,3,6,1,1,4,11,36.4,7,0,0,0,1,9,0,0,21,40,52.5,447,232,6,15,40,10,13,76.9,4,9,44.4,0.1,0.1,-0.1,1,5,1,0,7,0,1,0,0,0.47,0,0,NA,20.4,0,0,0,0.03,0,0,40,37,3,0,1,0,4,0,3,0,3,0,21,0,2,5,2.33,3,1,0,1,0,0,1,0.47,0,0,0,1,0,0,67,0,17,30,22,1,67,8,3,37.5,4,50,44,355,159,7,2,1,7,5,38,5,0,3,3,2,4,3,0,0,0,12,2,2,50
2023,"Ajaccio","Ligue 1","Yanis Cimignani","FRA","MF,DF","20",2002,8,3,279,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,3,0,17,0,0,0,0,0,0.06,0.03,0.09,0.06,0.09,3.1,11,5,3,7,1,4,5,80,1,5,1,4,2,13,2,0,75,113,66.4,1245,267,41,51,80.4,25,40,62.5,8,14,57.1,0.1,0.1,-0.1,3,1,2,2,0,0,6,2,33.3,1.94,0.65,0,0,24.6,0,0,0,0.03,-0.2,-0.2,113,101,11,1,0,0,10,9,1,1,0,0,75,1,6,8,2.58,8,0,0,0,0,0,0,0,0,0,0,0,0,0,148,5,23,64,61,2,148,6,2,33.3,4,66.7,91,471,197,3,8,0,4,5,87,17,0,5,2,0,10,5,0,0,0,12,0,12,0
2023,"Ajaccio","Ligue 1","Mathieu Coutadeur","FRA","MF","36",1986,27,22,1947,0,0,0,0,0,0,2,0,0.1,0.1,1,1.1,20,110,22,0,0,0,0,0,0,0.05,0.05,0,0.05,21.6,23,13,13,10,0,8,28,28.6,20,19,3,16,19,42,21,0,1006,1197,84,16929,4490,464,526,88.2,386,449,86,106,150,70.7,1,1.4,-1,10,100,7,1,110,0,4,0,0,0.18,0,0,NA,29.1,0,0,0,0.02,-0.1,-0.1,1197,1133,59,57,6,7,5,2,0,0,0,0,1006,5,15,26,1.2,24,1,1,0,0,0,1,0.05,1,0,0,0,0,0,1329,44,260,902,176,4,1329,14,5,35.7,6,42.9,979,4749,2011,20,14,2,19,8,889,22,0,6,13,0,5,13,0,0,0,150,9,13,40.9
2023,"Ajaccio","Ligue 1","Ismael Diallo","CIV","DF","25",1997,28,25,2176,0,0,0,0,0,0,9,1,0.3,0.3,0.6,0.8,36,70,36,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,24.2,46,33,35,9,2,35,63,55.6,28,26,12,14,30,76,46,1,804,1078,74.6,14552,5879,359,427,84.1,319,408,78.2,99,188,52.7,0.6,0.7,-0.6,9,73,8,4,70,0,3,0,0,0.12,0,0,NA,17.5,0,0,0,0.08,-0.3,-0.3,1078,882,193,11,4,5,35,182,0,0,0,0,804,3,25,17,0.7,11,4,0,1,1,0,0,0,0,0,0,0,0,0,1309,95,517,633,177,3,1309,34,14,41.2,14,41.2,832,4820,2213,36,33,0,35,10,682,36,0,41,33,1,35,33,0,2,0,166,26,24,52
2023,"Ajaccio","Ligue 1","Moussa Djitte","SEN","FW","22",1999,6,1,136,0,0,0,0,0,0,0,0,0.1,0.1,0,0.2,0,2,12,0,0,0,0,0,0.09,0.01,0.1,0.09,0.1,1.5,1,0,0,0,1,1,2,50,1,0,0,0,0,1,1,0,24,32,75,275,43,14,16,87.5,7,11,63.6,1,2,50,0,0,0,1,3,1,0,2,0,2,0,0,1.32,0,0,NA,23.3,0,0,0,0.07,-0.1,-0.1,32,32,0,0,0,0,0,0,0,0,0,0,24,0,1,2,1.31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,5,25,21,2,50,4,0,0,2,50,36,206,38,0,0,0,8,2,38,12,0,4,3,0,0,0,0,0,0,5,5,6,45.5
2023,"Ajaccio","Ligue 1","Oumar Gonzalez","CMR","DF","24",1998,30,29,2578,0,0,0,0,0,0,10,0,1,1,0,1.1,12,54,5,0,0,0,0,0,0.04,0,0.04,0.04,0.04,28.6,51,28,34,13,4,23,37,62.2,14,32,11,21,52,103,82,0,899,1102,81.6,17387,4963,271,332,81.6,513,565,90.8,94,172,54.7,0,0.2,0,1,29,1,0,54,0,11,3,27.3,0.38,0.1,0,0,11.1,0,0,0,0.09,-1,-1,1102,1058,43,41,1,1,3,2,0,0,0,0,899,1,5,4,0.14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1381,158,682,655,54,26,1381,15,6,40,5,33.3,898,5452,2707,12,6,1,20,10,755,5,0,45,44,3,3,28,0,3,0,157,63,46,57.8
