Player,Nation,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Gls,Ast,PK,PKatt,xG_Expected,npxG_Expected,xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Mins_Per_90,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Lost_Challenges,Sh_Blocks,Pass_Blocks,Int,Clr,Err,Cmp_Total,Att_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_Medium,Att_Medium,Cmp_Long,Att_Long,xA,KP,Final_Third,PPA,CrsPA,Sh_Standard,SoT_Standard,Dist_Standard,FK_Standard,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Tkld_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Pos,Squad
Aaron Meijers,NED,34.0,1989.0,13.0,1,294,0,0,0,0,0.0,0.0,0.3,9,12,18,3.3,12,7,4,5,3,9,19,10,0,2,4,8,0,179,233,3203,1226,84,91,78,96,16,35,0.3,4,13,3,2,1,1,22.0,0,233,186,47,7,0,0,15,40,0,0,0,0,179,0,7,8,7,1,0,0,0,0,1,1,0,0,0,0,0,268,13,87,110,72,2,268,6,2,1,142,810,342,7,0,1,2,151,4,7,0,15,0,0,0,32,6,4,DF,Sparta Rotterdam
Achraf Douiri,NED,22.0,2001.0,9.0,5,382,0,0,0,0,0.1,0.1,0.0,7,9,6,4.2,22,12,8,9,5,12,19,7,4,6,5,8,0,121,167,2113,492,60,68,44,54,16,33,0.1,1,7,1,1,3,0,21.2,0,167,135,32,1,0,1,7,30,1,1,0,0,121,0,9,7,6,0,0,1,0,0,1,1,0,0,0,0,0,230,11,75,107,49,1,230,13,8,5,92,572,261,5,1,7,6,102,8,3,0,7,0,0,0,32,0,1,"DF,FW",Volendam
Adil Auassar,NED,35.0,1988.0,29.0,22,1918,0,0,0,0,0.2,0.2,0.3,9,73,1,21.3,34,23,27,7,0,15,25,10,26,4,34,112,2,1010,1182,21747,8443,287,310,560,608,155,237,1.3,3,67,3,0,4,2,13.9,0,1182,1114,64,25,2,12,2,1,0,0,0,0,1010,4,10,6,5,1,0,0,0,0,1,1,0,0,0,0,0,1428,275,815,601,21,12,1428,2,1,1,871,4664,2616,6,0,8,3,932,21,7,2,2,0,0,0,98,31,30,DF,Sparta Rotterdam
Adrian Fein,GER,23.0,2000.0,14.0,8,728,0,0,0,0,0.1,0.1,0.4,4,48,4,8.1,14,5,8,1,5,9,14,5,1,2,2,9,0,257,318,4253,1385,124,143,112,129,17,30,0.6,5,31,7,2,3,1,26.3,0,318,308,10,9,0,2,3,1,0,0,0,0,257,0,4,9,9,0,0,0,0,0,0,0,0,0,0,0,0,351,13,71,208,75,2,351,2,1,1,179,809,408,5,0,4,1,217,8,2,0,3,0,0,0,48,4,5,MF,Excelsior
Ahmed El Messaoudi,MAR,26.0,1997.0,25.0,16,1408,2,0,0,0,2.6,2.6,0.8,34,58,52,15.6,23,14,9,10,4,5,19,14,6,17,9,16,0,485,598,6967,2006,280,326,154,179,22,37,1.3,16,44,12,3,27,10,16.3,0,598,588,9,7,5,4,8,0,0,0,0,0,485,1,21,38,26,1,6,2,2,1,2,2,0,0,0,0,0,792,28,145,411,254,36,792,54,30,18,508,3033,1452,28,2,41,31,573,15,29,2,8,0,0,0,72,28,21,"MF,FW",Emmen
Aimar Sher,SWE,19.0,2004.0,6.0,0,134,0,0,0,0,0.2,0.2,0.0,0,6,6,1.5,4,2,2,2,0,1,4,3,0,0,2,2,0,39,53,548,221,25,28,14,20,0,3,0.1,1,1,1,0,4,0,23.5,0,53,51,2,0,0,0,2,1,1,0,0,0,39,0,1,5,4,0,1,0,0,0,0,0,0,0,0,0,0,73,4,20,28,26,3,73,3,3,0,35,170,71,3,1,2,1,44,1,0,0,2,0,0,0,7,3,5,"MF,FW",Groningen
Albert Lottin,FRA,20.0,2003.0,1.0,0,16,0,0,0,0,0.1,0.1,0.0,0,2,1,0.2,0,0,0,0,0,0,1,1,0,2,0,0,0,5,7,125,37,0,1,4,5,1,1,0.0,0,1,0,0,1,1,17.2,0,7,5,2,0,0,0,1,1,1,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,4,6,8,1,17,5,2,3,9,65,38,0,0,2,2,7,0,0,0,1,0,0,0,5,1,0,MF,Utrecht
Alex Bangura,SLE,23.0,2000.0,0.0,28,2449,1,3,0,0,0.5,0.5,4.0,91,82,115,27.2,41,27,30,10,1,24,37,13,7,16,20,43,0,1005,1296,17414,5368,449,521,431,521,104,192,3.3,15,59,17,6,9,2,15.8,0,1296,1066,228,30,1,1,58,198,0,0,0,0,1005,2,21,46,42,3,0,0,1,0,6,5,1,0,0,0,0,1531,80,547,667,346,39,1531,42,24,7,880,6198,3552,52,11,37,12,891,34,59,0,58,0,0,0,187,5,13,DF,Cambuur
Alex Timossi Andersson,SWE,21.0,2002.0,0.0,1,260,0,0,0,0,0.6,0.6,0.7,2,5,14,2.9,6,3,3,2,1,3,6,3,1,1,2,0,0,32,48,561,177,14,19,13,16,4,6,0.6,3,2,3,2,5,1,14.3,0,48,44,4,0,0,0,9,1,0,0,0,0,32,0,5,5,4,0,0,1,0,0,0,0,0,0,0,0,0,85,3,12,35,38,10,85,6,1,5,51,327,54,1,2,10,5,51,5,3,4,9,0,0,0,11,2,6,"FW,MF",Heerenveen
Alfons Sampsted,ISL,24.0,1999.0,0.0,5,457,0,0,0,0,0.0,0.0,0.7,8,18,23,5.1,12,9,8,4,0,9,12,3,1,3,5,9,0,283,339,4656,1593,138,154,120,142,20,28,0.9,4,21,7,3,2,1,33.7,0,339,293,46,4,1,1,15,42,0,0,0,0,283,0,5,11,10,1,0,0,0,0,0,0,0,0,0,0,0,399,18,123,175,104,7,399,5,1,3,206,893,501,10,0,12,1,229,6,9,0,15,0,0,0,40,2,6,DF,Twente
