"Season","Squad","Comp","Player","Nation","Pos","Age","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","xG_Per_Minutes","xAG_Per_Minutes","xG+xAG_Per_Minutes","npxG_Per_Minutes","npxG+xAG_Per_Minutes","MP","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","xAG","xA","A_minus_xAG","KP","Final_Third","PPA","CrsPA","PrgP","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","SCA_SCA","SCA90_SCA","PassLive_SCA_Types","PassDead_SCA_Types","TO_SCA_Types","Sh_SCA_Types","Fld_SCA_Types","Def_SCA_Types","GCA_GCA","GCA90_GCA","PassLive_GCA_Types","PassDead_GCA_Types","TO_GCA_Types","Sh_GCA_Types","Fld_GCA_Types","Def_GCA_Types","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take_Ons","Succ_Take_Ons","Succ_percent_Take_Ons","Tkld_Take_Ons","Tkld_percent_Take_Ons","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","Won_Aerial_Duels","Lost_Aerial_Duels","Won_percent_Aerial_Duels"
"2022-2023","Feyenoord","Eredivisie","Dávid Hancko","SVK","DF","24",31,2745,30.5,2,4,6,2,0,0,2,0,3.1,3.1,2.3,5.4,63,227,44,0.07,0.13,0.2,0.07,0.2,0.1,0.07,0.18,0.1,0.18,NA,30.5,71,43,43,24,4,44,53,83,9,29,16,13,31,102,103,1,1986,2282,87,38119,13910,708,751,94.3,1056,1148,92,200,334,59.9,2.3,2.2,1.7,19,249,11,2,227,2,42,11,26.2,1.38,0.36,0.05,0.18,13.1,0,0,0,0.08,-1.1,-1.1,2282,2188,91,44,3,16,23,35,0,0,0,0,1986,3,13,65,2.13,52,2,2,6,3,0,6,0.2,3,0,0,3,0,0,2615,228,1015,1368,255,66,2615,19,13,68.4,5,26.3,1697,9450,6326,63,40,3,29,8,1818,44,0,12,19,2,23,43,0,0,0,231,37,24,60.7
"2022-2023","Feyenoord","Eredivisie","Orkun Kökçü","TUR","MF","21",31,2696,30,8,2,10,6,2,2,6,0,5.6,4.1,7.1,11.1,91,379,104,0.27,0.07,0.33,0.2,0.27,0.19,0.24,0.42,0.14,0.37,NA,30,39,18,12,15,12,17,45,37.8,28,16,6,10,19,58,16,0,2044,2510,81.4,36150,12660,920,1008,91.3,845,979,86.3,219,393,55.7,7.1,8.1,-5.1,89,327,75,18,379,8,82,29,35.4,2.74,0.97,0.07,0.21,25.5,21,2,2,0.05,2.4,1.9,2510,2252,249,106,11,15,149,32,108,50,16,0,2044,9,39,196,6.55,131,43,7,11,4,0,15,0.5,9,1,2,2,1,0,2839,42,356,1598,918,53,2837,60,30,50,22,36.7,1822,9357,4726,91,77,10,58,44,2057,104,0,23,27,0,149,18,0,0,0,241,9,11,45
"2022-2023","Feyenoord","Eredivisie","Lutsharel Geertruida","NED","DF,MF","22",29,2572,28.6,3,2,5,3,0,0,1,0,3.2,3.2,2.4,5.6,64,211,48,0.1,0.07,0.17,0.1,0.17,0.11,0.08,0.2,0.11,0.2,NA,28.6,48,34,24,21,3,21,28,75,7,12,6,6,31,79,48,1,1844,2043,90.3,32210,9930,746,802,93,948,1012,93.7,122,172,70.9,2.4,2.5,-0.4,25,183,14,5,211,3,26,8,30.8,0.91,0.28,0.12,0.38,17.7,0,0,0,0.12,-0.2,-0.2,2043,1913,128,33,2,7,12,95,0,0,0,0,1844,2,16,66,2.31,60,2,1,1,2,0,7,0.25,6,0,1,0,0,0,2257,106,568,1380,321,33,2257,33,17,51.5,10,30.3,1516,8342,4900,64,40,5,22,15,1669,48,0,16,15,1,12,34,0,0,0,176,20,14,58.8
"2022-2023","Feyenoord","Eredivisie","Marcus Pedersen","NOR","DF","22",25,2117,23.5,1,2,3,1,0,0,3,0,1.5,1.5,2.3,3.9,114,54,141,0.04,0.09,0.13,0.04,0.13,0.07,0.1,0.16,0.07,0.16,NA,23.5,41,23,20,14,7,24,28,85.7,4,16,4,12,9,50,60,1,966,1177,82.1,15285,2783,497,546,91,392,463,84.7,57,105,54.3,2.3,2.7,-0.3,30,61,22,14,54,1,19,4,21.1,0.81,0.17,0.05,0.25,17.5,0,0,0,0.08,-0.5,-0.5,1177,997,178,9,0,5,61,169,0,0,0,0,966,2,32,59,2.51,52,0,5,1,0,1,5,0.21,4,0,1,0,0,0,1407,76,331,627,464,66,1407,60,32,53.3,22,36.7,811,6081,3366,114,58,21,27,18,839,141,0,27,9,3,61,23,0,0,0,124,3,6,33.3
"2022-2023","Feyenoord","Eredivisie","Sebastian Szymański","POL","MF,FW","23",24,1966,21.8,9,4,13,9,0,0,3,0,6,6,4.1,10.1,39,91,142,0.41,0.18,0.6,0.41,0.6,0.27,0.19,0.46,0.27,0.46,NA,21.8,51,29,13,26,12,24,47,51.1,23,28,2,26,11,62,11,1,582,829,70.2,9164,2961,310,363,85.4,179,249,71.9,61,128,47.7,4.1,5.4,-0.1,50,48,36,11,91,9,59,23,39,2.7,1.05,0.15,0.39,19.4,4,0,0,0.1,3,3,829,704,121,15,4,7,115,5,87,42,19,0,582,4,33,107,4.9,62,32,4,3,3,3,12,0.55,9,1,0,1,1,0,1118,13,93,430,600,92,1118,49,14,28.6,31,63.3,613,2897,1414,39,32,9,47,27,704,142,0,25,33,1,115,29,0,0,0,96,7,27,20.6
"2022-2023","Feyenoord","Eredivisie","Javairô Dilrosun","NED","FW,MF","24",23,1881,20.9,5,5,10,5,0,0,1,0,3.3,3.3,4,7.2,101,73,218,0.24,0.24,0.48,0.24,0.48,0.16,0.19,0.35,0.16,0.35,NA,20.9,21,11,8,11,2,12,27,44.4,15,20,0,20,15,36,17,0,615,775,79.4,9118,1944,347,398,87.2,200,245,81.6,36,76,47.4,4,4.2,1,40,28,44,11,73,5,53,16,30.2,2.54,0.77,0.09,0.31,20.4,2,0,0,0.06,1.7,1.7,775,733,42,3,2,1,67,17,16,11,0,0,615,0,13,84,4.02,64,6,6,3,5,0,9,0.43,9,0,0,0,0,0,1059,25,95,355,627,71,1059,99,48,48.5,36,36.4,695,5128,2723,101,54,36,46,19,770,218,0,11,25,2,67,11,0,0,1,86,8,13,38.1
"2022-2023","Feyenoord","Eredivisie","Santiago Giménez","MEX","FW","21",21,1926,21.4,15,2,17,15,0,0,3,0,14.7,14.7,2.1,16.8,31,28,129,0.7,0.09,0.79,0.7,0.79,0.69,0.1,0.79,0.69,0.79,NA,21.4,11,4,4,2,5,0,10,0,10,13,0,13,4,15,5,0,208,297,70,2707,466,133,175,76,52,74,70.3,7,14,50,2.1,2.8,-0.1,20,6,11,0,28,15,86,29,33.7,4.02,1.36,0.17,0.52,12.8,0,0,0,0.17,0.3,0.3,297,278,18,1,2,1,1,3,0,0,0,0,208,1,6,47,2.2,30,0,4,4,9,0,7,0.33,3,0,1,1,2,0,574,4,20,193,371,172,574,58,14,24.1,39,67.2,364,1926,774,31,18,24,75,28,448,129,0,19,27,13,1,4,2,0,0,56,33,29,53.2
"2022-2023","Feyenoord","Eredivisie","Quilindschy Hartman","NED","DF","20",21,1664,18.5,2,4,6,2,0,0,5,0,0.4,0.4,2,2.4,35,106,91,0.11,0.22,0.32,0.11,0.32,0.02,0.11,0.13,0.02,0.13,NA,18.5,40,20,12,16,12,20,31,64.5,11,25,9,16,28,68,36,1,931,1193,78,15067,4649,472,540,87.4,374,466,80.3,65,116,56,2,2.3,2,19,71,29,9,106,2,11,5,45.5,0.59,0.27,0.18,0.4,20.6,0,0,0,0.03,1.6,1.6,1193,1043,147,14,2,8,46,133,0,0,0,0,931,3,32,45,2.43,42,2,0,0,0,1,7,0.38,6,0,0,0,0,1,1375,41,312,731,345,37,1375,21,5,23.8,14,66.7,759,3196,1742,35,34,4,19,8,818,91,0,20,2,0,46,20,0,0,0,105,40,20,66.7
"2022-2023","Feyenoord","Eredivisie","Quinten Timber","NED","MF","21",19,1638,18.2,2,3,5,2,0,0,2,0,2.4,2.4,2.1,4.5,49,92,74,0.11,0.16,0.27,0.11,0.27,0.13,0.12,0.25,0.13,0.25,NA,18.2,44,19,17,21,6,14,26,53.8,12,18,0,18,21,65,3,0,659,778,84.7,9576,2364,349,393,88.8,251,284,88.4,19,35,54.3,2.1,2.6,0.9,33,80,12,0,92,2,24,11,45.8,1.32,0.6,0.08,0.18,22.5,0,0,0,0.1,-0.4,-0.4,778,752,22,9,5,3,9,10,0,0,0,0,659,4,10,72,3.96,61,0,3,1,5,2,6,0.33,5,0,0,0,0,1,1004,9,116,544,364,50,1004,69,39,56.5,23,33.3,619,3301,1766,49,46,17,46,20,701,74,0,21,26,0,9,19,0,0,0,111,7,14,33.3
"2022-2023","Feyenoord","Eredivisie","Mats Wieffer","NED","MF","22",18,1673,18.6,1,5,6,1,0,0,5,0,1.8,1.8,2.2,4.1,31,138,37,0.05,0.27,0.32,0.05,0.32,0.1,0.12,0.22,0.1,0.22,NA,18.6,50,29,16,31,3,23,58,39.7,35,26,4,22,26,76,37,0,1075,1302,82.6,17609,4835,520,595,87.4,434,506,85.8,80,114,70.2,2.2,2.3,2.8,24,135,12,2,138,1,23,3,13,1.24,0.16,0.04,0.33,15.5,0,0,0,0.08,-0.8,-0.8,1302,1278,22,13,6,11,15,9,0,0,0,0,1075,2,21,64,3.45,57,0,2,1,1,3,9,0.48,9,0,0,0,0,0,1562,58,286,955,341,42,1562,42,26,61.9,14,33.3,891,4034,1796,31,35,6,35,16,978,37,0,36,24,0,15,29,0,1,0,176,63,45,58.3
