Player,Nation,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Gls,Ast,PK,PKatt,xG_Expected,npxG_Expected,xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Mins_Per_90,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Lost_Challenges,Sh_Blocks,Pass_Blocks,Int,Clr,Err,Cmp_Total,Att_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_Medium,Att_Medium,Cmp_Long,Att_Long,xA,KP,Final_Third,PPA,CrsPA,Sh_Standard,SoT_Standard,Dist_Standard,FK_Standard,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Tkld_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Pos,Squad
Yunus Musah,USA,19.0,2004.0,33.0,26,2110,0,2,0,0,1.8,1.8,1.8,72.0,93.0,101.0,23.4,48.0,35,17.0,23.0,8.0,20.0,30.0,10.0,1.0,19.0,11,16.0,2.0,604.0,771.0,10218.0,2277.0,293.0,348.0,252.0,296.0,43.0,64.0,1.8,16.0,52.0,12.0,4.0,22,3,18.4,0.0,771.0,757.0,12.0,3.0,3.0,11.0,40,9.0,0.0,0.0,0.0,0.0,604.0,2.0,29.0,47.0,30.0,2.0,6.0,2.0,6.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1030.0,27.0,154.0,487.0,405.0,51.0,1030.0,70.0,27.0,35.0,646.0,4812.0,2417.0,62.0,11.0,52.0,22.0,729.0,42,42,3,40,0.0,0.0,0,97.0,28.0,36.0,MF,Valencia
Matheus Costa,BRA,27.0,1996.0,20.0,13,1084,0,0,0,0,0.3,0.3,0.1,5.0,23.0,0.0,12.0,22.0,16,15.0,5.0,2.0,10.0,15.0,5.0,7.0,4.0,15,50.0,1.0,448.0,539.0,8963.0,3243.0,138.0,155.0,255.0,274.0,49.0,93.0,0.1,4.0,24.0,0.0,0.0,6,2,14.4,0.0,539.0,522.0,15.0,14.0,0.0,7.0,0,0.0,0.0,0.0,0.0,0.0,448.0,2.0,4.0,15.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664.0,106.0,407.0,241.0,20.0,11.0,664.0,3.0,1.0,2.0,292.0,1454.0,744.0,2.0,0.0,2.0,1.0,399.0,12,9,1,0,0.0,0.0,1,64.0,35.0,21.0,DF,Marítimo
Carlos,BRA,23.0,2000.0,35.0,35,3083,6,5,0,0,4.4,4.4,3.7,87.0,101.0,151.0,34.3,73.0,38,42.0,23.0,8.0,33.0,54.0,21.0,6.0,18.0,24,85.0,1.0,1430.0,1719.0,22788.0,6775.0,743.0,811.0,566.0,665.0,82.0,133.0,3.4,26.0,75.0,27.0,7.0,42,16,15.0,0.0,1719.0,1409.0,305.0,20.0,2.0,7.0,54,280.0,0.0,0.0,0.0,0.0,1430.0,5.0,49.0,56.0,45.0,3.0,3.0,2.0,2.0,1.0,9.0,8.0,0.0,0.0,1.0,0.0,0.0,2073.0,111.0,676.0,917.0,498.0,71.0,2073.0,61.0,33.0,24.0,1032.0,5925.0,3073.0,62.0,15.0,45.0,28.0,1267.0,41,19,6,54,0.0,0.0,0,157.0,57.0,33.0,DF,Monza
Rocco Reitz,GER,20.0,2003.0,1.0,0,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,2.0,30.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,MF,M'Gladbach
Leny Yoro,FRA,16.0,2007.0,13.0,8,769,0,0,0,0,0.1,0.1,0.0,0.0,15.0,1.0,8.5,11.0,5,8.0,3.0,0.0,4.0,9.0,5.0,1.0,5.0,18,27.0,1.0,514.0,565.0,9564.0,2895.0,177.0,186.0,271.0,287.0,55.0,79.0,0.1,1.0,11.0,0.0,0.0,2,0,15.9,0.0,565.0,537.0,28.0,20.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,514.0,0.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641.0,51.0,293.0,348.0,4.0,3.0,641.0,3.0,3.0,0.0,498.0,2516.0,1198.0,1.0,0.0,5.0,1.0,460.0,5,5,0,0,0.0,0.0,0,41.0,12.0,8.0,DF,Lille
Roger Martínez,ESP,18.0,2005.0,1.0,0,7,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,5.0,104.0,26.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0,26.5,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,5.0,1.0,6.0,0.0,0.0,0.0,3.0,10.0,4.0,0.0,0.0,0.0,0.0,4.0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,DF,Espanyol
Steve Mounié,BEN,27.0,1996.0,23.0,20,1655,6,0,1,1,7.3,6.5,0.8,23.0,32.0,89.0,18.4,13.0,5,1.0,7.0,5.0,5.0,14.0,9.0,7.0,11.0,3,20.0,0.0,253.0,458.0,3503.0,841.0,139.0,238.0,89.0,147.0,5.0,15.0,1.3,13.0,26.0,3.0,0.0,58,19,14.9,0.0,458.0,454.0,2.0,0.0,0.0,1.0,9,2.0,0.0,0.0,0.0,0.0,253.0,2.0,14.0,37.0,24.0,0.0,0.0,10.0,1.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,675.0,29.0,67.0,325.0,290.0,95.0,674.0,21.0,10.0,9.0,414.0,2224.0,716.0,9.0,9.0,54.0,28.0,532.0,37,25,10,9,0.0,0.0,0,49.0,151.0,105.0,FW,Brest
Simon Banza,FRA,25.0,1998.0,30.0,15,1449,11,2,0,0,8.6,8.6,1.2,20.0,21.0,88.0,16.1,17.0,10,4.0,6.0,7.0,6.0,15.0,9.0,0.0,7.0,2,14.0,0.0,190.0,284.0,2611.0,471.0,115.0,158.0,50.0,76.0,10.0,13.0,1.1,15.0,13.0,6.0,0.0,47,21,11.8,0.0,284.0,265.0,18.0,0.0,3.0,1.0,7,1.0,0.0,0.0,0.0,0.0,190.0,1.0,11.0,35.0,23.0,0.0,1.0,5.0,6.0,0.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,496.0,14.0,39.0,198.0,265.0,82.0,496.0,41.0,22.0,17.0,273.0,1440.0,476.0,11.0,10.0,56.0,25.0,390.0,42,42,10,7,1.0,0.0,0,47.0,63.0,63.0,FW,Braga
José Mari,ESP,34.0,1989.0,18.0,2,397,0,0,0,0,0.1,0.1,0.3,5.0,21.0,4.0,4.4,16.0,7,12.0,3.0,1.0,10.0,16.0,6.0,1.0,2.0,5,9.0,0.0,168.0,203.0,3584.0,1144.0,55.0,68.0,71.0,76.0,37.0,49.0,0.1,5.0,32.0,1.0,0.0,5,2,24.1,0.0,203.0,188.0,14.0,14.0,0.0,8.0,1,0.0,0.0,0.0,0.0,0.0,168.0,1.0,2.0,13.0,10.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,15.0,82.0,153.0,29.0,2.0,260.0,6.0,3.0,3.0,129.0,694.0,321.0,1.0,0.0,6.0,7.0,146.0,6,7,0,1,0.0,0.0,0,38.0,5.0,7.0,MF,Cádiz
Gabriel Veron,BRA,19.0,2004.0,17.0,2,405,0,2,0,0,1.3,1.3,2.0,19.0,17.0,55.0,4.5,14.0,10,5.0,5.0,4.0,4.0,7.0,3.0,0.0,5.0,2,4.0,0.0,107.0,152.0,1436.0,432.0,62.0,77.0,33.0,46.0,3.0,8.0,2.5,9.0,7.0,5.0,1.0,16,6,16.3,0.0,152.0,146.0,5.0,0.0,3.0,1.0,12,3.0,1.0,0.0,1.0,0.0,107.0,1.0,7.0,23.0,15.0,0.0,1.0,2.0,4.0,1.0,5.0,3.0,0.0,0.0,2.0,0.0,0.0,220.0,2.0,17.0,75.0,129.0,38.0,220.0,16.0,4.0,10.0,140.0,780.0,416.0,9.0,7.0,9.0,5.0,147.0,15,8,4,12,0.0,0.0,0,22.0,3.0,6.0,"MF,FW",Porto
