Player,Nation,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Gls,Ast,PK,PKatt,xG_Expected,npxG_Expected,xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Mins_Per_90,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Lost_Challenges,Sh_Blocks,Pass_Blocks,Int,Clr,Err,Cmp_Total,Att_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_Medium,Att_Medium,Cmp_Long,Att_Long,xA,KP,Final_Third,PPA,CrsPA,Sh_Standard,SoT_Standard,Dist_Standard,FK_Standard,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Tkld_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Pos,Squad
Aaron Cresswell,ENG,32,1991,28,24,2235,0,1,0,0,0.3,0.3,3.7,35.0,145.0,82.0,24.8,21.0,11,12.0,7.0,2.0,12.0,31.0,19.0,11.0,10.0,27,56.0,0.0,1127.0,1448.0,18285.0,8587.0,626.0,670.0,387.0,497.0,100.0,206.0,2.9,40.0,91.0,28.0,15.0,9,1,22.5,4.0,1448.0,1157.0,288.0,40.0,1.0,5.0,133,192.0,56.0,5.0,44.0,1.0,1127.0,3.0,35.0,73.0,43.0,27.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1607.0,97.0,507.0,668.0,438.0,13.0,1607.0,7.0,2.0,4.0,766.0,3497.0,1751.0,26.0,1.0,6.0,6.0,960.0,9,9,2,133,0.0,0.0,0,120.0,28.0,27.0,DF,West Ham
Aaron Hickey,SCO,20,2003,26,23,1916,0,1,0,0,0.4,0.4,0.4,41.0,81.0,47.0,21.3,38.0,26,27.0,11.0,0.0,18.0,32.0,14.0,7.0,11.0,17,32.0,1.0,695.0,838.0,10995.0,3282.0,373.0,411.0,265.0,310.0,46.0,80.0,0.6,6.0,62.0,13.0,4.0,11,2,21.5,0.0,838.0,743.0,93.0,11.0,2.0,1.0,27,82.0,0.0,0.0,0.0,0.0,695.0,2.0,17.0,20.0,14.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1028.0,47.0,328.0,499.0,211.0,21.0,1028.0,45.0,17.0,18.0,616.0,3295.0,1802.0,17.0,3.0,16.0,13.0,624.0,20,35,1,27,0.0,1.0,0,111.0,14.0,22.0,DF,Brentford
Aaron Ramsey,WAL,31,1992,27,18,1584,1,1,0,0,2.5,2.5,1.8,29.0,126.0,84.0,17.6,47.0,25,18.0,19.0,10.0,16.0,39.0,23.0,4.0,21.0,17,18.0,1.0,915.0,1088.0,16069.0,3809.0,398.0,431.0,382.0,444.0,100.0,159.0,2.0,28.0,88.0,20.0,3.0,22,6,15.3,1.0,1088.0,998.0,88.0,37.0,5.0,11.0,62,6.0,45.0,16.0,18.0,0.0,915.0,2.0,10.0,62.0,42.0,14.0,0.0,5.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,1279.0,43.0,208.0,723.0,361.0,50.0,1279.0,24.0,14.0,5.0,980.0,4866.0,1934.0,34.0,8.0,24.0,32.0,902.0,23,18,3,62,1.0,0.0,0,115.0,6.0,12.0,MF,Nice
Aaron Wan-Bissaka,ENG,24,1999,19,16,1435,0,0,0,0,1.2,1.2,1.0,41.0,55.0,64.0,15.9,40.0,25,20.0,17.0,3.0,23.0,25.0,2.0,8.0,16.0,22,41.0,0.0,706.0,840.0,9538.0,3292.0,448.0,483.0,194.0,240.0,28.0,44.0,0.9,15.0,48.0,10.0,2.0,10,2,14.7,0.0,840.0,715.0,123.0,4.0,2.0,2.0,14,119.0,0.0,0.0,0.0,0.0,706.0,2.0,22.0,30.0,29.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1026.0,75.0,346.0,400.0,286.0,44.0,1026.0,35.0,17.0,18.0,524.0,2614.0,1370.0,24.0,4.0,14.0,10.0,600.0,11,2,0,14,0.0,0.0,0,73.0,13.0,17.0,DF,Manchester Utd
Aaron Zehnter,GER,17,2006,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,DF,Augsburg
Aarón Martín,ESP,25,1998,28,20,1847,5,3,0,1,2.2,1.4,2.8,25.0,86.0,61.0,20.5,42.0,27,25.0,11.0,6.0,21.0,40.0,19.0,1.0,21.0,15,31.0,0.0,761.0,1028.0,12672.0,5222.0,385.0,424.0,283.0,356.0,73.0,187.0,3.4,27.0,68.0,29.0,16.0,18,7,25.9,8.0,1028.0,730.0,293.0,39.0,0.0,4.0,145,195.0,59.0,42.0,16.0,0.0,761.0,5.0,29.0,59.0,39.0,18.0,1.0,1.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,1192.0,47.0,303.0,523.0,380.0,14.0,1191.0,21.0,10.0,8.0,582.0,2815.0,1217.0,19.0,3.0,15.0,14.0,621.0,28,12,2,145,0.0,0.0,0,104.0,1.0,13.0,DF,Mainz 05
Abdallah Sima,SEN,21,2002,34,19,1836,5,1,0,0,4.8,4.8,2.2,38.0,21.0,140.0,20.4,22.0,13,4.0,15.0,3.0,7.0,19.0,12.0,0.0,8.0,4,19.0,0.0,274.0,374.0,3603.0,688.0,142.0,182.0,84.0,116.0,8.0,17.0,1.3,16.0,18.0,6.0,1.0,39,10,12.7,0.0,374.0,334.0,39.0,0.0,1.0,1.0,16,6.0,0.0,0.0,0.0,0.0,274.0,1.0,15.0,34.0,24.0,0.0,1.0,4.0,5.0,0.0,7.0,2.0,0.0,1.0,1.0,3.0,0.0,589.0,23.0,54.0,271.0,281.0,78.0,589.0,50.0,21.0,25.0,404.0,2855.0,915.0,25.0,17.0,60.0,31.0,424.0,32,24,12,16,1.0,1.0,1,52.0,43.0,63.0,FW,Angers
Abdelhamid Sabiri,MAR,25,1998,18,12,1069,2,0,1,2,3.0,1.4,1.4,7.0,49.0,54.0,11.9,18.0,7,5.0,9.0,4.0,4.0,13.0,9.0,4.0,14.0,2,5.0,0.0,310.0,461.0,5531.0,1574.0,141.0,180.0,118.0,162.0,39.0,85.0,1.2,14.0,44.0,12.0,0.0,31,9,25.5,8.0,461.0,390.0,69.0,33.0,3.0,8.0,54,3.0,32.0,9.0,19.0,0.0,310.0,2.0,11.0,41.0,22.0,7.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0,15.0,64.0,304.0,257.0,31.0,616.0,39.0,14.0,17.0,363.0,1503.0,536.0,20.0,5.0,34.0,28.0,423.0,28,39,0,54,0.0,0.0,0,50.0,30.0,29.0,"MF,FW",Sampdoria
Abdessamad Ezzalzouli,MAR,20,2003,28,19,1504,4,2,0,0,2.7,2.7,1.9,93.0,44.0,136.0,16.7,29.0,19,13.0,12.0,4.0,13.0,23.0,10.0,0.0,20.0,4,6.0,0.0,365.0,549.0,5242.0,1286.0,222.0,268.0,107.0,164.0,24.0,51.0,3.8,12.0,13.0,24.0,9.0,40,16,19.1,2.0,549.0,516.0,26.0,3.0,3.0,5.0,76,16.0,7.0,1.0,2.0,0.0,365.0,7.0,33.0,58.0,27.0,5.0,18.0,4.0,3.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,813.0,4.0,73.0,287.0,473.0,66.0,813.0,117.0,59.0,42.0,555.0,4651.0,2531.0,60.0,45.0,64.0,38.0,606.0,27,34,2,76,0.0,0.0,0,71.0,3.0,17.0,"FW,MF",Osasuna
Abdou Diallo,SEN,26,1997,8,5,478,1,0,0,0,0.4,0.4,0.1,11.0,24.0,3.0,5.3,6.0,5,5.0,1.0,0.0,1.0,3.0,2.0,5.0,3.0,8,22.0,0.0,323.0,381.0,6092.0,2643.0,128.0,139.0,157.0,174.0,36.0,60.0,0.3,1.0,25.0,4.0,0.0,4,1,8.0,0.0,381.0,365.0,15.0,13.0,1.0,3.0,1,2.0,0.0,0.0,0.0,0.0,323.0,1.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.0,57.0,203.0,216.0,27.0,8.0,443.0,5.0,3.0,1.0,277.0,1519.0,942.0,3.0,1.0,3.0,6.0,305.0,3,2,1,1,0.0,1.0,0,40.0,12.0,11.0,"DF,MF",RB Leipzig
