Player,Nation,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Gls,Ast,PK,PKatt,xG_Expected,npxG_Expected,xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Mins_Per_90,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Lost_Challenges,Sh_Blocks,Pass_Blocks,Int,Clr,Err,Cmp_Total,Att_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_Medium,Att_Medium,Cmp_Long,Att_Long,xA,KP,Final_Third,PPA,CrsPA,Sh_Standard,SoT_Standard,Dist_Standard,FK_Standard,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Tkld_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Pos,Squad
Abbas Ibrahim,NGA,24,1999,7.0,3,328,0,0,0,0,0.0,0.0,0.1,7.0,20.0,6.0,3.6,6.0,4,3.0,3.0,0.0,4.0,7.0,3.0,2.0,5.0,4,3.0,2.0,162.0,181.0,2681.0,638.0,82.0,84.0,65.0,74.0,11.0,16.0,0.1,1.0,19.0,0.0,0.0,1,0,34.0,0.0,181.0,175.0,6.0,5.0,0.0,2.0,3,1.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,5.0,47.0,149.0,29.0,0.0,220.0,4.0,4.0,0.0,122.0,661.0,288.0,4.0,0.0,6.0,2.0,148.0,6,6,0,3,0.0,0.0,0,29.0,3.0,3.0,"MF,DF",Paços de Ferreira
Abdul Fatawu Issahaku,GHA,18,2005,6.0,1,118,0,0,0,0,0.4,0.4,0.1,8.0,4.0,21.0,1.3,1.0,0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,1.0,2,1.0,0.0,43.0,70.0,621.0,215.0,27.0,34.0,14.0,19.0,1.0,10.0,0.1,1.0,1.0,2.0,1.0,4,1,21.6,0.0,70.0,56.0,14.0,0.0,0.0,0.0,10,14.0,0.0,0.0,0.0,0.0,43.0,0.0,2.0,6.0,3.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,99.0,3.0,13.0,19.0,68.0,5.0,99.0,15.0,6.0,7.0,61.0,376.0,174.0,3.0,4.0,4.0,1.0,60.0,3,6,0,10,1.0,0.0,0,6.0,2.0,4.0,"DF,MF",Sporting CP
Abdul-Aziz Yakubu,GHA,23,2000,17.0,16,1281,7,3,2,2,3.8,2.2,1.6,20.0,12.0,88.0,14.2,4.0,3,1.0,2.0,1.0,1.0,3.0,2.0,1.0,5.0,4,17.0,0.0,157.0,238.0,1980.0,269.0,102.0,125.0,44.0,72.0,4.0,12.0,0.7,8.0,7.0,4.0,1.0,20,12,16.8,0.0,238.0,209.0,29.0,0.0,0.0,1.0,18,2.0,0.0,0.0,0.0,0.0,157.0,0.0,12.0,17.0,13.0,0.0,2.0,1.0,1.0,0.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,364.0,14.0,30.0,130.0,209.0,46.0,362.0,21.0,7.0,11.0,190.0,1086.0,408.0,15.0,9.0,33.0,15.0,256.0,20,19,13,18,1.0,0.0,0,24.0,15.0,39.0,FW,Rio Ave
Abel Ruiz,ESP,22,2001,34.0,26,2074,8,6,0,0,7.6,7.6,3.2,51.0,28.0,180.0,23.0,13.0,7,4.0,7.0,2.0,5.0,19.0,14.0,2.0,16.0,7,9.0,0.0,392.0,513.0,4876.0,648.0,258.0,301.0,77.0,106.0,18.0,27.0,2.8,31.0,6.0,15.0,4.0,50,20,13.6,0.0,513.0,493.0,16.0,0.0,3.0,3.0,19,7.0,0.0,0.0,0.0,0.0,392.0,4.0,19.0,64.0,56.0,1.0,2.0,4.0,0.0,1.0,14.0,11.0,0.0,2.0,1.0,0.0,0.0,707.0,13.0,39.0,194.0,479.0,156.0,707.0,28.0,13.0,14.0,414.0,2337.0,1080.0,24.0,30.0,53.0,25.0,535.0,19,9,10,19,0.0,0.0,0,53.0,17.0,41.0,FW,Braga
Abraham Marcus,NGA,22,2001,1.0,0,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,3.0,27.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,3.0,33.0,15.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,FW,Porto
Aderlan Santos,BRA,33,1990,32.0,32,2821,1,0,0,0,1.6,1.6,0.2,3.0,57.0,0.0,31.3,55.0,35,35.0,20.0,0.0,22.0,34.0,12.0,27.0,14.0,53,167.0,1.0,1568.0,1798.0,31039.0,12403.0,451.0,495.0,940.0,985.0,159.0,276.0,0.5,4.0,50.0,1.0,0.0,21,6,19.5,1.0,1798.0,1755.0,37.0,36.0,1.0,2.0,1,1.0,0.0,0.0,0.0,0.0,1568.0,6.0,8.0,25.0,22.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2177.0,268.0,1174.0,970.0,39.0,25.0,2177.0,7.0,4.0,1.0,1114.0,4525.0,2221.0,3.0,0.0,9.0,2.0,1440.0,34,13,1,1,0.0,0.0,1,156.0,94.0,64.0,DF,Rio Ave
Adewele Sapara,NGA,27,1996,0.0,1,117,0,0,0,0,0.1,0.1,0.1,1.0,3.0,4.0,1.3,5.0,4,4.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,3,2.0,0.0,32.0,39.0,656.0,164.0,14.0,15.0,10.0,12.0,7.0,9.0,0.0,2.0,2.0,1.0,1.0,1,0,9.4,0.0,39.0,36.0,2.0,0.0,0.0,1.0,6,0.0,1.0,0.0,1.0,0.0,32.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,3.0,17.0,25.0,14.0,2.0,56.0,2.0,0.0,2.0,33.0,141.0,51.0,2.0,0.0,3.0,2.0,26.0,3,1,0,6,0.0,0.0,0,11.0,1.0,6.0,"FW,MF",Portimonense
Adriano,BRA,22,2001,31.0,27,2205,1,1,0,0,0.8,0.8,0.9,16.0,83.0,17.0,24.5,50.0,31,19.0,30.0,1.0,31.0,50.0,19.0,13.0,21.0,26,52.0,0.0,798.0,986.0,15449.0,5668.0,304.0,348.0,365.0,411.0,108.0,178.0,0.9,14.0,85.0,7.0,1.0,9,2,22.5,0.0,986.0,931.0,49.0,43.0,7.0,6.0,4,5.0,0.0,0.0,0.0,0.0,798.0,6.0,18.0,40.0,35.0,0.0,1.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1230.0,119.0,458.0,693.0,103.0,13.0,1230.0,33.0,21.0,10.0,631.0,3262.0,1608.0,19.0,1.0,15.0,18.0,698.0,30,22,2,4,0.0,1.0,0,201.0,10.0,21.0,"MF,DF",Santa Clara
Adrián Butzke,ESP,23,2000,26.0,13,1335,6,1,1,1,6.4,5.6,1.6,13.0,28.0,61.0,14.8,9.0,6,2.0,2.0,5.0,1.0,7.0,6.0,2.0,5.0,3,14.0,0.0,254.0,344.0,3474.0,576.0,157.0,195.0,70.0,98.0,11.0,18.0,0.6,21.0,23.0,10.0,1.0,54,16,13.1,0.0,344.0,314.0,27.0,1.0,2.0,2.0,4,0.0,0.0,0.0,0.0,0.0,254.0,3.0,0.0,29.0,26.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,505.0,15.0,33.0,251.0,229.0,83.0,504.0,20.0,8.0,9.0,286.0,1165.0,499.0,13.0,6.0,30.0,18.0,381.0,19,18,4,4,1.0,0.0,0,33.0,67.0,61.0,FW,Paços de Ferreira
Adrián Marín,ESP,25,1998,0.0,29,2570,0,0,0,0,0.4,0.4,2.4,60.0,177.0,122.0,28.6,63.0,38,37.0,20.0,6.0,35.0,54.0,19.0,5.0,25.0,31,78.0,0.0,1190.0,1624.0,21028.0,9997.0,544.0,622.0,522.0,670.0,107.0,250.0,3.2,26.0,123.0,38.0,10.0,7,0,16.1,0.0,1624.0,1306.0,310.0,29.0,4.0,18.0,77,281.0,0.0,0.0,0.0,0.0,1190.0,8.0,33.0,61.0,55.0,3.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1921.0,110.0,528.0,932.0,468.0,24.0,1921.0,46.0,21.0,20.0,952.0,4387.0,2638.0,34.0,4.0,17.0,10.0,1065.0,35,11,1,77,0.0,0.0,0,164.0,42.0,34.0,DF,Gil Vicente FC
