"Season","Squad","Comp","Player","Nation","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","xG_Per_Minutes","xAG_Per_Minutes","xG+xAG_Per_Minutes","npxG_Per_Minutes","npxG+xAG_Per_Minutes","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","xAG","xA","A_minus_xAG","KP","Final_Third","PPA","CrsPA","PrgP","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","SCA_SCA","SCA90_SCA","PassLive_SCA_Types","PassDead_SCA_Types","TO_SCA_Types","Sh_SCA_Types","Fld_SCA_Types","Def_SCA_Types","GCA_GCA","GCA90_GCA","PassLive_GCA_Types","PassDead_GCA_Types","TO_GCA_Types","Sh_GCA_Types","Fld_GCA_Types","Def_GCA_Types","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take_Ons","Succ_Take_Ons","Succ_percent_Take_Ons","Tkld_Take_Ons","Tkld_percent_Take_Ons","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","Won_Aerial_Duels","Lost_Aerial_Duels","Won_percent_Aerial_Duels"
"2022-2023","Benfica","Primeira Liga","Álex Grimaldo","ESP","DF","26",33,33,2941,32.7,5,9,14,3,2,2,5,0,3.9,2.3,12.6,14.9,102,194,400,0.15,0.28,0.43,0.09,0.37,0.12,0.39,0.5,0.07,0.46,32.7,74,46,26,31,17,50,89,56.2,39,27,1,26,40,114,26,0,2045,2513,81.4,30038,8796,1184,1287,92,657,801,82,118,221,53.4,12.6,10.6,-3.6,74,106,92,35,194,5,38,16,42.1,1.16,0.49,0.08,0.19,26.1,17,2,2,0.06,1.1,0.7,2513,2113,387,59,11,11,217,301,27,8,14,0,2045,13,64,121,3.7,105,9,0,6,1,0,18,0.55,15,1,0,1,1,0,2813,50,526,1079,1231,68,2811,77,36,46.8,36,46.8,1527,7229,4094,102,69,11,34,18,1904,400,0,20,31,7,217,46,1,0,0,193,19,21,47.5
"2022-2023","Benfica","Primeira Liga","João Mário","POR","FW","29",33,33,2643,29.4,17,7,24,10,7,10,6,1,18.5,10.6,7.4,18,81,179,248,0.58,0.24,0.82,0.34,0.58,0.63,0.25,0.88,0.36,0.61,29.4,45,28,9,26,10,17,49,34.7,32,40,1,39,11,56,12,0,1314,1585,82.9,17908,5114,774,841,92,377,447,84.3,68,137,49.6,7.4,9.7,-0.4,54,87,63,18,179,17,66,22,33.3,2.25,0.75,0.15,0.45,19.3,1,7,10,0.16,-1.5,-0.6,1585,1463,113,26,5,7,114,33,54,18,12,1,1314,9,38,135,4.6,103,10,5,7,9,1,16,0.55,14,0,1,1,0,0,1929,15,161,715,1079,107,1919,82,32,39,31,37.8,1168,6070,2802,81,63,14,54,34,1450,248,1,45,52,6,114,28,1,0,0,194,13,20,39.4
"2022-2023","Benfica","Primeira Liga","Nicolás Otamendi","ARG","DF","34",31,31,2773,30.8,1,0,1,1,0,0,11,1,2.3,2.3,0.4,2.8,25,156,7,0.03,0,0.03,0.03,0.03,0.08,0.01,0.09,0.08,0.09,30.8,67,48,32,31,4,48,67,71.6,19,32,11,21,66,133,92,1,2034,2254,90.2,40011,14606,675,733,92.1,1065,1127,94.5,258,332,77.7,0.4,0.7,-0.4,6,158,2,0,156,1,31,9,29,1.01,0.29,0.03,0.11,10,0,0,0,0.08,-1.3,-1.3,2254,2191,61,53,2,18,2,8,0,0,0,0,2034,2,11,31,1.01,21,1,0,6,1,2,2,0.06,1,1,0,0,0,0,2589,211,1085,1387,130,47,2589,15,7,46.7,6,40,1549,7611,4194,25,22,1,18,4,1825,7,1,32,24,0,2,48,0,1,0,221,90,43,67.7
"2022-2023","Benfica","Primeira Liga","António Silva","POR","DF","18",30,30,2692,29.9,3,0,3,3,0,0,5,0,4.1,3.9,0.4,4.3,27,120,3,0.1,0,0.1,0.1,0.1,0.14,0.01,0.15,0.13,0.14,29.9,57,30,36,20,1,38,55,69.1,17,23,13,10,38,95,89,2,1770,1937,91.4,35135,12317,541,580,93.3,1001,1040,96.3,206,282,73,0.4,0.7,-0.4,5,157,2,0,120,3,18,7,38.9,0.6,0.23,0.17,0.43,7.8,0,0,0,0.22,-1.1,-0.9,1937,1892,44,34,4,14,3,9,0,0,0,0,1770,1,8,19,0.63,17,0,0,0,2,0,4,0.13,4,0,0,0,0,0,2214,230,1006,1158,69,24,2214,14,6,42.9,4,28.6,1396,7433,4591,27,19,1,16,3,1595,3,0,38,10,5,3,30,0,1,0,216,46,29,61.3
"2022-2023","Benfica","Primeira Liga","Gonçalo Ramos","POR","FW","21",30,30,2282,25.4,19,2,21,19,0,0,4,1,20.3,20.3,2.4,22.7,30,31,125,0.75,0.08,0.83,0.75,0.83,0.8,0.09,0.9,0.8,0.9,25.4,20,12,3,10,7,7,22,31.8,15,10,3,7,3,23,35,0,324,454,71.4,3968,782,203,272,74.6,83,104,79.8,9,12,75,2.4,3.5,-0.4,17,10,9,0,31,19,98,37,37.8,3.87,1.46,0.19,0.51,11,0,0,0,0.21,-1.3,-1.3,454,425,25,1,1,0,4,3,0,0,0,0,324,4,16,46,1.81,23,0,7,9,6,1,8,0.32,3,0,2,2,1,0,759,41,81,275,406,160,759,45,19,42.2,20,44.4,375,1572,676,30,14,15,54,26,532,125,1,50,43,14,4,12,1,0,0,71,65,66,49.6
"2022-2023","Benfica","Primeira Liga","Rafa Silva","POR","MF,FW","29",28,26,2174,24.2,8,4,12,8,0,0,6,0,11.8,11,5.9,16.9,99,126,239,0.33,0.17,0.5,0.33,0.5,0.49,0.24,0.73,0.46,0.7,24.2,16,9,1,8,7,7,21,33.3,14,17,0,17,2,18,1,0,603,783,77,8304,1902,362,421,86,178,218,81.7,27,38,71.1,5.9,4.3,-1.9,38,59,38,1,126,8,68,22,32.4,2.82,0.91,0.12,0.36,15.3,0,0,0,0.16,-3.8,-3,783,751,27,4,7,4,24,3,0,0,0,0,603,5,44,113,4.67,73,0,18,7,13,2,18,0.74,11,0,2,2,3,0,1109,0,39,339,756,178,1109,134,51,38.1,62,46.3,713,5507,2749,99,65,42,75,43,902,239,0,18,65,16,24,9,3,0,0,97,9,20,31
"2022-2023","Benfica","Primeira Liga","Florentino Luís","POR","MF","22",33,25,2120,23.6,0,3,3,0,0,0,5,0,1.3,1.3,1.7,3,11,165,30,0,0.13,0.13,0,0.13,0.05,0.07,0.13,0.05,0.13,23.6,82,45,29,37,16,46,66,69.7,20,26,1,25,63,145,27,0,1665,1856,89.7,26510,7780,856,909,94.2,613,659,93,129,178,72.5,1.7,1.5,1.3,17,228,16,1,165,0,12,3,25,0.51,0.13,0,0,14.5,0,0,0,0.11,-1.3,-1.3,1856,1816,34,30,1,20,3,4,0,0,0,0,1665,6,20,37,1.57,29,1,1,3,1,2,5,0.21,5,0,0,0,0,0,2130,52,346,1418,382,19,2130,22,13,59.1,5,22.7,1202,4284,1763,11,22,0,23,13,1558,30,0,33,7,1,3,45,0,0,0,165,36,23,61
"2022-2023","Benfica","Primeira Liga","Fredrik Aursnes","NOR","FW,MF","26",28,24,2155,23.9,2,4,6,2,0,1,5,0,4.2,3.4,3.1,6.5,48,202,135,0.08,0.17,0.25,0.08,0.25,0.17,0.13,0.31,0.14,0.27,23.9,41,29,14,20,7,27,52,51.9,25,18,1,17,32,73,14,0,1410,1657,85.1,23290,6684,686,748,91.7,522,594,87.9,137,200,68.5,3.1,3.6,0.9,27,161,34,5,202,2,22,9,40.9,0.92,0.38,0.09,0.22,16.1,0,0,1,0.15,-2.2,-1.4,1657,1568,85,19,4,9,37,57,9,1,6,0,1410,4,25,75,3.13,62,5,0,5,3,0,9,0.38,8,0,0,1,0,0,1867,26,263,985,627,57,1866,36,17,47.2,16,44.4,1056,4546,2285,48,39,7,26,17,1394,135,0,25,10,8,37,29,1,0,0,157,21,23,47.7
"2022-2023","Benfica","Primeira Liga","David Neres","BRA","FW,MF","25",31,22,1959,21.8,6,8,14,6,0,0,2,0,5.4,5.4,7.7,13.1,94,107,211,0.28,0.37,0.64,0.28,0.64,0.25,0.36,0.61,0.25,0.61,21.8,21,8,5,10,6,10,27,37,17,11,0,11,3,24,1,0,861,1114,77.3,11910,2936,502,572,87.8,245,301,81.4,47,103,45.6,7.7,8.1,0.3,49,60,53,18,107,6,50,19,38,2.3,0.87,0.12,0.32,17.8,1,0,0,0.11,0.6,0.6,1114,1013,94,8,8,2,118,7,76,27,2,2,861,7,33,104,4.79,73,10,13,8,0,0,15,0.69,12,0,2,1,0,0,1370,2,52,472,864,122,1370,115,57,49.6,53,46.1,838,5354,2529,94,66,33,57,31,1091,211,0,25,24,5,118,8,0,0,0,96,4,13,23.5
"2022-2023","Benfica","Primeira Liga","Alexander Bah","DEN","DF","24",28,21,1879,20.9,1,4,5,1,0,0,1,0,0.4,0.4,5.4,5.8,59,118,163,0.05,0.19,0.24,0.05,0.24,0.02,0.26,0.28,0.02,0.28,20.9,59,34,25,28,6,28,47,59.6,19,33,5,28,36,95,29,1,1230,1561,78.8,20497,7421,578,668,86.5,517,627,82.5,97,172,56.4,5.4,4.2,-1.4,32,107,47,22,118,1,9,2,22.2,0.43,0.1,0.11,0.5,22.8,0,0,0,0.05,0.6,0.6,1561,1310,245,27,2,3,85,217,1,0,0,0,1230,6,31,65,3.11,54,4,2,0,3,2,7,0.34,6,0,0,0,1,0,1812,51,363,826,634,27,1812,37,9,24.3,17,45.9,849,4058,2136,59,43,6,27,9,1117,163,0,33,39,1,85,34,2,0,1,118,36,32,52.9
